>>> bench-local
# Thu, 22 Feb 2018 16:29:54 +0300
# neotest@rio.kirr.nexedi.com (2401:5180:0:2a::1 192.168.0.6)
# Linux rio 4.15.0-1-amd64 #1 SMP Debian 4.15.4-1 (2018-02-18) x86_64 GNU/Linux
# cpu: Intel(R) Core(TM) i7-3770S CPU @ 3.10GHz
# cpu[0-7]: freq: intel_pstate/performance [1.60GHz - 3.90GHz]
# cpu[0-7]: idle: intel_idle/menu: POLL(0μs) C1(1μs) C1E(10μs) C3(59μs) C6(80μs)
# cpu: WARNING: frequency not fixed - benchmark timings won't be stable
# cpu: WARNING: C-state exit-latency is max 80μs - up to that can add to networked and IPC request-reply latency
# sda: Samsung SSD 840   rev BB0Q 931.5G
# eth0: Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller rev 06
# eth0: features: rx !tx !sg !tso !ufo !gso gro !lro rxvlan txvlan !ntuple !rxhash ...
# eth0: coalesce: rxc: 200μs/4f/0μs-irq/0f-irq,  txc: 200μs/4f/0μs-irq/0f-irq
# eth0: up, speed=1000, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
# eth0: WARNING: TSO not enabled - TCP latency with packets > MSS will be poor
# eth0: WARNING: RX coalesce latency is max 200μs - that will add to networked request-reply latency
# eth1: Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller rev 06
# eth1: features: rx !tx !sg !tso !ufo !gso gro !lro rxvlan txvlan !ntuple !rxhash ...
# eth1: coalesce: rxc: 0μs/1f/0μs-irq/0f-irq,  txc: 0μs/1f/0μs-irq/0f-irq
# eth1: down, speed=?, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
# eth1: WARNING: TSO not enabled - TCP latency with packets > MSS will be poor
# Python 2.7.14+
# go version go1.10 linux/amd64
# sqlite 3.22.0 (py mod 2.6.0)
# mysqld  Ver 10.1.29-MariaDB-6 for debian-linux-gnu on x86_64 (Debian buildd-unstable)
# neo             : v1.8-1552-g4bcbc04d
# zodb            : 5.3.0
# zeo             : 5.1.1
# mysqlclient     : 1.3.12
# wendelin.core   : 0.11

*** cpu:

Benchmarkrio/pystone 1 175562 pystone/s	# POLL·0 C1·9 C1E·7 C3·7 C6·149
Benchmarkrio/pystone 1 185401 pystone/s	# POLL·0 C1·33 C1E·3 C3·6 C6·162
Benchmarkrio/pystone 1 176984 pystone/s	# POLL·0 C1·5 C1E·10 C3·2 C6·178
Benchmarkrio/pystone 1 179955 pystone/s	# POLL·0 C1·8 C1E·6 C3·3 C6·164
Benchmarkrio/pystone 1 182050 pystone/s	# POLL·0 C1·29 C1E·4 C3·4 C6·146
Benchmarkrio/neo/py/sqlite/zhash.py-P16 1 2291.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.876s
Benchmarkrio/neo/py/sqlite/zhash.py-P16 1 2287.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.868s
Benchmarkrio/neo/py/sqlite/zhash.py-P16 1 2278.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.849s
Benchmarkrio/neo/py/sqlite/zhash.py-P16 1 2287.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.867s
Benchmarkrio/neo/py/sqlite/zhash.py-P16 1 2276.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.844s
Benchmarkrio/neo/py/sqlite/zhash.py-P16 1 2276.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.844s
Benchmarkrio/neo/py/sqlite/zhash.py-P16 1 2275.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.842s
Benchmarkrio/neo/py/sqlite/zhash.py-P16 1 2292.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.878s
Benchmarkrio/neo/py/sqlite/zhash.py-P16 1 2275.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.843s
Benchmarkrio/neo/py/sqlite/zhash.py-P16 1 2273.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.838s
Benchmarkrio/neo/py/sqlite/zhash.py-P16 1 2278.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.848s
Benchmarkrio/neo/py/sqlite/zhash.py-P16 1 2273.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.839s
Benchmarkrio/neo/py/sqlite/zhash.py-P16 1 2275.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.842s
Benchmarkrio/neo/py/sqlite/zhash.py-P16 1 2262.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.815s
# POLL·6 C1·252720 C1E·96147 C3·5834 C6·3302

Benchmarkrio/neo/py/sqlite/zhash.go 1 144.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=306.833093ms	# POLL·0 C1·2175 C1E·10757 C3·56 C6·170
Benchmarkrio/neo/py/sqlite/zhash.go 1 146.6 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=312.028525ms	# POLL·0 C1·2166 C1E·10744 C3·61 C6·197
Benchmarkrio/neo/py/sqlite/zhash.go 1 148.1 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=315.237887ms	# POLL·1 C1·2163 C1E·10758 C3·59 C6·227
Benchmarkrio/neo/py/sqlite/zhash.go 1 150.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=319.568665ms	# POLL·1 C1·2163 C1E·10728 C3·69 C6·228
Benchmarkrio/neo/py/sqlite/zhash.go 1 147.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=313.789057ms	# POLL·2 C1·2138 C1E·10769 C3·49 C6·170
Benchmarkrio/neo/py/sqlite/zhash.go+prefetch128 1 125.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=266.475459ms	# POLL·1 C1·1082 C1E·11063 C3·71 C6·396
Benchmarkrio/neo/py/sqlite/zhash.go+prefetch128 1 126.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=268.880026ms	# POLL·4 C1·1222 C1E·10999 C3·64 C6·373
Benchmarkrio/neo/py/sqlite/zhash.go+prefetch128 1 123.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=262.203441ms	# POLL·2 C1·1179 C1E·10988 C3·61 C6·404
Benchmarkrio/neo/py/sqlite/zhash.go+prefetch128 1 125.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=267.903217ms	# POLL·1 C1·1443 C1E·10858 C3·64 C6·457
Benchmarkrio/neo/py/sqlite/zhash.go+prefetch128 1 124.8 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=265.511327ms	# POLL·1 C1·1075 C1E·11103 C3·65 C6·359

# 16 clients in parallel
Benchmarkrio/neo/py/sqlite/zhash.go-P16 1 1796.8 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.823595853s
Benchmarkrio/neo/py/sqlite/zhash.go-P16 1 1803.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.838618293s
Benchmarkrio/neo/py/sqlite/zhash.go-P16 1 1810.8 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.853332591s
Benchmarkrio/neo/py/sqlite/zhash.go-P16 1 1809.6 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.850773527s
Benchmarkrio/neo/py/sqlite/zhash.go-P16 1 1809.8 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.85126023s
Benchmarkrio/neo/py/sqlite/zhash.go-P16 1 1810.1 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.851848328s
Benchmarkrio/neo/py/sqlite/zhash.go-P16 1 1810.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.85351203s
Benchmarkrio/neo/py/sqlite/zhash.go-P16 1 1810.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.852561631s
Benchmarkrio/neo/py/sqlite/zhash.go-P16 1 1811.1 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.853996311s
Benchmarkrio/neo/py/sqlite/zhash.go-P16 1 1811.0 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.853796195s
Benchmarkrio/neo/py/sqlite/zhash.go-P16 1 1811.0 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.853748716s
Benchmarkrio/neo/py/sqlite/zhash.go-P16 1 1810.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.852506846s
Benchmarkrio/neo/py/sqlite/zhash.go-P16 1 1488.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.167426797s
Benchmarkrio/neo/py/sqlite/zhash.go-P16 1 1488.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.167204683s
Benchmarkrio/neo/py/sqlite/zhash.go-P16 1 1488.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.167125879s
Benchmarkrio/neo/py/sqlite/zhash.go-P16 1 1488.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.167034496s
# POLL·60 C1·1157 C1E·129325 C3·30231 C6·13106
2018-02-22 16:34:40.4174 ERROR     NEO        [           app: 91] primary master is down
Cluster state changed

*** NEO/py sqlite (logging disabled)
Benchmarkrio/neo/py(!log)/sqlite/zhash.py 1 265.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.564s	# POLL·5 C1·9313 C1E·8397 C3·128 C6·1772
Benchmarkrio/neo/py(!log)/sqlite/zhash.py 1 265.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.565s	# POLL·2 C1·2274 C1E·10192 C3·42 C6·2852
Benchmarkrio/neo/py(!log)/sqlite/zhash.py 1 270.6 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.576s	# POLL·2 C1·3824 C1E·9467 C3·38 C6·2800
Benchmarkrio/neo/py(!log)/sqlite/zhash.py 1 267.8 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.570s	# POLL·6 C1·3290 C1E·9942 C3·46 C6·2664
Benchmarkrio/neo/py(!log)/sqlite/zhash.py 1 268.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.571s	# POLL·1 C1·3598 C1E·9471 C3·814 C6·1920

# 16 clients in parallel
Benchmarkrio/neo/py(!log)/sqlite/zhash.py-P16 1 1939.0 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.126s
Benchmarkrio/neo/py(!log)/sqlite/zhash.py-P16 1 2011.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.280s
Benchmarkrio/neo/py(!log)/sqlite/zhash.py-P16 1 2026.6 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.313s
Benchmarkrio/neo/py(!log)/sqlite/zhash.py-P16 1 2032.1 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.324s
Benchmarkrio/neo/py(!log)/sqlite/zhash.py-P16 1 2025.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.311s
Benchmarkrio/neo/py(!log)/sqlite/zhash.py-P16 1 2024.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.309s
Benchmarkrio/neo/py(!log)/sqlite/zhash.py-P16 1 2004.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.265s
Benchmarkrio/neo/py(!log)/sqlite/zhash.py-P16 1 2000.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.256s
Benchmarkrio/neo/py(!log)/sqlite/zhash.py-P16 1 2000.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.257s
Benchmarkrio/neo/py(!log)/sqlite/zhash.py-P16 1 1998.6 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.253s
Benchmarkrio/neo/py(!log)/sqlite/zhash.py-P16 1 1995.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.247s
Benchmarkrio/neo/py(!log)/sqlite/zhash.py-P16 1 1990.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.236s
Benchmarkrio/neo/py(!log)/sqlite/zhash.py-P16 1 1989.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.233s
Benchmarkrio/neo/py(!log)/sqlite/zhash.py-P16 1 1989.6 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.234s
Benchmarkrio/neo/py(!log)/sqlite/zhash.py-P16 1 1998.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.254s
Benchmarkrio/neo/py(!log)/sqlite/zhash.py-P16 1 1998.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.252s
# POLL·6 C1·258179 C1E·88951 C3·2783 C6·4245

Benchmarkrio/neo/py(!log)/sqlite/zhash.go 1 132.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=282.893315ms	# POLL·1 C1·2179 C1E·10768 C3·35 C6·142
Benchmarkrio/neo/py(!log)/sqlite/zhash.go 1 128.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=273.553226ms	# POLL·0 C1·2193 C1E·10761 C3·27 C6·164
Benchmarkrio/neo/py(!log)/sqlite/zhash.go 1 132.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=282.012407ms	# POLL·1 C1·2181 C1E·10764 C3·36 C6·153
Benchmarkrio/neo/py(!log)/sqlite/zhash.go 1 128.6 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=273.55908ms	# POLL·0 C1·2155 C1E·10762 C3·42 C6·157
Benchmarkrio/neo/py(!log)/sqlite/zhash.go 1 128.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=273.283826ms	# POLL·1 C1·2179 C1E·10781 C3·26 C6·159
Benchmarkrio/neo/py(!log)/sqlite/zhash.go+prefetch128 1 111.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=237.129734ms	# POLL·2 C1·2181 C1E·9473 C3·134 C6·686
Benchmarkrio/neo/py(!log)/sqlite/zhash.go+prefetch128 1 113.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=242.021417ms	# POLL·3 C1·2288 C1E·9787 C3·54 C6·790
Benchmarkrio/neo/py(!log)/sqlite/zhash.go+prefetch128 1 113.1 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=240.706265ms	# POLL·5 C1·2451 C1E·9446 C3·242 C6·612
Benchmarkrio/neo/py(!log)/sqlite/zhash.go+prefetch128 1 112.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=239.851913ms	# POLL·2 C1·2477 C1E·9843 C3·145 C6·334
Benchmarkrio/neo/py(!log)/sqlite/zhash.go+prefetch128 1 107.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=228.044957ms	# POLL·2 C1·2568 C1E·8994 C3·63 C6·973

# 16 clients in parallel
Benchmarkrio/neo/py(!log)/sqlite/zhash.go-P16 1 1608.6 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.423137423s
Benchmarkrio/neo/py(!log)/sqlite/zhash.go-P16 1 1618.8 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.444844338s
Benchmarkrio/neo/py(!log)/sqlite/zhash.go-P16 1 1619.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.445634386s
Benchmarkrio/neo/py(!log)/sqlite/zhash.go-P16 1 1619.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.446751068s
Benchmarkrio/neo/py(!log)/sqlite/zhash.go-P16 1 1619.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.447152361s
Benchmarkrio/neo/py(!log)/sqlite/zhash.go-P16 1 1619.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.44715028s
Benchmarkrio/neo/py(!log)/sqlite/zhash.go-P16 1 1620.0 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.447364808s
Benchmarkrio/neo/py(!log)/sqlite/zhash.go-P16 1 1620.0 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.447340227s
Benchmarkrio/neo/py(!log)/sqlite/zhash.go-P16 1 1620.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.44794655s
Benchmarkrio/neo/py(!log)/sqlite/zhash.go-P16 1 1620.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.447752048s
Benchmarkrio/neo/py(!log)/sqlite/zhash.go-P16 1 1620.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.448192327s
Benchmarkrio/neo/py(!log)/sqlite/zhash.go-P16 1 1620.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.448204681s
Benchmarkrio/neo/py(!log)/sqlite/zhash.go-P16 1 1620.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.448213344s
Benchmarkrio/neo/py(!log)/sqlite/zhash.go-P16 1 1643.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.497258s
Benchmarkrio/neo/py(!log)/sqlite/zhash.go-P16 1 1702.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.622993356s
Benchmarkrio/neo/py(!log)/sqlite/zhash.go-P16 1 1702.8 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=3.623560703s
# POLL·18 C1·1194 C1E·143975 C3·22067 C6·5510
2018-02-22 16:34:56.9376 ERROR     NEO        [           app: 91] primary master is down
Cluster state changed

*** NEO/py sql
2018-02-22 16:34:57 140661499267072 [Note] mysqld (mysqld 10.1.29-MariaDB-6) starting as process 30520 ...
Benchmarkrio/neo/py/sql/zhash.py 1 505.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=1.076s	# POLL·0 C1·3996 C1E·17756 C3·3097 C6·3625
Benchmarkrio/neo/py/sql/zhash.py 1 296.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.631s	# POLL·0 C1·32908 C1E·3837 C3·470 C6·742
Benchmarkrio/neo/py/sql/zhash.py 1 294.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.626s	# POLL·6 C1·24161 C1E·8436 C3·1195 C6·718
Benchmarkrio/neo/py/sql/zhash.py 1 292.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.622s	# POLL·0 C1·24517 C1E·6714 C3·854 C6·2090
Benchmarkrio/neo/py/sql/zhash.py 1 291.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.621s	# POLL·1 C1·30466 C1E·3204 C3·427 C6·4039

# 16 clients in parallel
Benchmarkrio/neo/py/sql/zhash.py-P16 1 2740.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=5.831s
Benchmarkrio/neo/py/sql/zhash.py-P16 1 2824.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=6.011s
Benchmarkrio/neo/py/sql/zhash.py-P16 1 2858.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=6.084s
Benchmarkrio/neo/py/sql/zhash.py-P16 1 2861.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=6.089s
Benchmarkrio/neo/py/sql/zhash.py-P16 1 2862.1 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=6.091s
Benchmarkrio/neo/py/sql/zhash.py-P16 1 2853.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=6.072s
Benchmarkrio/neo/py/sql/zhash.py-P16 1 2854.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=6.074s
Benchmarkrio/neo/py/sql/zhash.py-P16 1 2858.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=6.083s
Benchmarkrio/neo/py/sql/zhash.py-P16 1 2853.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=6.072s
Benchmarkrio/neo/py/sql/zhash.py-P16 1 2852.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=6.071s
Benchmarkrio/neo/py/sql/zhash.py-P16 1 2853.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=6.073s
Benchmarkrio/neo/py/sql/zhash.py-P16 1 2853.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=6.072s
Benchmarkrio/neo/py/sql/zhash.py-P16 1 2826.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=6.015s
Benchmarkrio/neo/py/sql/zhash.py-P16 1 2846.0 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=6.056s
Benchmarkrio/neo/py/sql/zhash.py-P16 1 2844.8 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=6.054s
Benchmarkrio/neo/py/sql/zhash.py-P16 1 2842.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=6.049s
# POLL·16 C1·390951 C1E·148695 C3·14031 C6·3791

Benchmarkrio/neo/py/sql/zhash.go 1 174.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=371.342858ms	# POLL·2 C1·9920 C1E·11771 C3·1715 C6·842
Benchmarkrio/neo/py/sql/zhash.go 1 167.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=356.948548ms	# POLL·0 C1·10286 C1E·12837 C3·1372 C6·257
Benchmarkrio/neo/py/sql/zhash.go 1 167.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=355.949128ms	# POLL·1 C1·10778 C1E·12266 C3·1116 C6·1054
Benchmarkrio/neo/py/sql/zhash.go 1 165.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=351.563584ms	# POLL·0 C1·11331 C1E·13910 C3·181 C6·483
Benchmarkrio/neo/py/sql/zhash.go 1 172.6 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=367.336096ms	# POLL·0 C1·11279 C1E·14035 C3·106 C6·527
Benchmarkrio/neo/py/sql/zhash.go+prefetch128 1 152.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=324.926222ms	# POLL·2 C1·9497 C1E·14446 C3·363 C6·964
Benchmarkrio/neo/py/sql/zhash.go+prefetch128 1 158.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=338.192866ms	# POLL·0 C1·9854 C1E·15081 C3·462 C6·407
Benchmarkrio/neo/py/sql/zhash.go+prefetch128 1 152.1 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=323.766513ms	# POLL·2 C1·9309 C1E·14979 C3·149 C6·773
Benchmarkrio/neo/py/sql/zhash.go+prefetch128 1 153.6 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=326.888735ms	# POLL·3 C1·9303 C1E·14523 C3·549 C6·387
Benchmarkrio/neo/py/sql/zhash.go+prefetch128 1 150.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=319.891631ms	# POLL·1 C1·10054 C1E·14085 C3·567 C6·722

# 16 clients in parallel
Benchmarkrio/neo/py/sql/zhash.go-P16 1 2252.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.793832012s
Benchmarkrio/neo/py/sql/zhash.go-P16 1 2258.6 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.806373607s
Benchmarkrio/neo/py/sql/zhash.go-P16 1 2266.6 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.823395511s
Benchmarkrio/neo/py/sql/zhash.go-P16 1 2267.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.825207206s
Benchmarkrio/neo/py/sql/zhash.go-P16 1 2266.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.822469656s
Benchmarkrio/neo/py/sql/zhash.go-P16 1 2266.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.823018644s
Benchmarkrio/neo/py/sql/zhash.go-P16 1 2266.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.823534893s
Benchmarkrio/neo/py/sql/zhash.go-P16 1 2267.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.825998547s
Benchmarkrio/neo/py/sql/zhash.go-P16 1 2267.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.826005658s
Benchmarkrio/neo/py/sql/zhash.go-P16 1 2267.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.824867823s
Benchmarkrio/neo/py/sql/zhash.go-P16 1 2268.0 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.826201656s
Benchmarkrio/neo/py/sql/zhash.go-P16 1 2268.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.826691553s
Benchmarkrio/neo/py/sql/zhash.go-P16 1 1950.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.150620397s
Benchmarkrio/neo/py/sql/zhash.go-P16 1 1949.6 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.148851921s
Benchmarkrio/neo/py/sql/zhash.go-P16 1 1949.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.148873964s
Benchmarkrio/neo/py/sql/zhash.go-P16 1 1949.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.148922028s
# POLL·59 C1·123434 C1E·195524 C3·21563 C6·17183
2018-02-22 16:35:19.4180 ERROR     NEO        [           app: 91] primary master is down
Cluster state changed

*** NEO/py sql (logging disabled)
2018-02-22 16:35:22 140647793072128 [Note] mysqld (mysqld 10.1.29-MariaDB-6) starting as process 31601 ...
Benchmarkrio/neo/py(!log)/sql/zhash.py 1 505.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=1.076s	# POLL·0 C1·6072 C1E·16384 C3·3356 C6·3216
Benchmarkrio/neo/py(!log)/sql/zhash.py 1 299.3 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.637s	# POLL·0 C1·20670 C1E·6862 C3·2078 C6·1399
Benchmarkrio/neo/py(!log)/sql/zhash.py 1 287.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.611s	# POLL·1 C1·32623 C1E·3414 C3·32 C6·959
Benchmarkrio/neo/py(!log)/sql/zhash.py 1 276.9 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.589s	# POLL·0 C1·34933 C1E·2441 C3·160 C6·396
Benchmarkrio/neo/py(!log)/sql/zhash.py 1 275.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=0.586s	# POLL·0 C1·28343 C1E·3759 C3·1571 C6·3773

# 16 clients in parallel
Benchmarkrio/neo/py(!log)/sql/zhash.py-P16 1 2025.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=4.310s
Benchmarkrio/neo/py(!log)/sql/zhash.py-P16 1 2467.6 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=5.251s
Benchmarkrio/neo/py(!log)/sql/zhash.py-P16 1 2481.2 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=5.280s
Benchmarkrio/neo/py(!log)/sql/zhash.py-P16 1 2477.4 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=5.272s
Benchmarkrio/neo/py(!log)/sql/zhash.py-P16 1 2475.5 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=5.268s
Benchmarkrio/neo/py(!log)/sql/zhash.py-P16 1 2477.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=5.273s
Benchmarkrio/neo/py(!log)/sql/zhash.py-P16 1 2472.8 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=5.262s
Benchmarkrio/neo/py(!log)/sql/zhash.py-P16 1 2474.7 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=5.266s
Benchmarkrio/neo/py(!log)/sql/zhash.py-P16 1 2470.1 µs/object	# crc32:14640593  oid=0..2127  nread=8540363  t=5.256s
